"pk","sk","ai_responses","analysis_filename","answers","assigned_count","clip_id","clip_index","created_at","cross_clip_manual_privacy","cross_clip_responses","cur_clip","finished","finished_at","free_text","item_type","max_assignments","mode","participant_findings","participant_id","stage","story_id","study","study_id","study_label","updated_at","video_watched"
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human","","","","","","","2025-12-16T01:33:19.783Z","","","6","true","2025-12-16T02:13:50.145Z","","participant_assignment","","human","","test_human","3","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T02:13:39.062Z",""
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#poststudy","","","[{""M"":{""score"":{""N"":""5""},""index"":{""N"":""1""},""question"":{""S"":""To what extent do you agree that the task required a high level of mental effort or concentration?""},""title"":{""S"":""Mental demand""},""question_id"":{""S"":""mental_demand""}}},{""M"":{""score"":{""N"":""12""},""index"":{""N"":""2""},""question"":{""S"":""To what extent do you agree that the task was physically demanding (for example, eye strain, mouse or keyboard use)?""},""title"":{""S"":""Physical demand""},""question_id"":{""S"":""physical_demand""}}},{""M"":{""score"":{""N"":""13""},""index"":{""N"":""3""},""question"":{""S"":""To what extent do you agree that you felt rushed or under time pressure while doing the task?""},""title"":{""S"":""Time pressure""},""question_id"":{""S"":""time_pressure""}}},{""M"":{""score"":{""N"":""13""},""index"":{""N"":""4""},""question"":{""S"":""To what extent do you agree that you performed the task well? (higher = better performance)""},""title"":{""S"":""Perceived performance""},""question_id"":{""S"":""performance""}}},{""M"":{""score"":{""N"":""13""},""index"":{""N"":""5""},""question"":{""S"":""To what extent do you agree that you had to put a lot of effort into completing the task?""},""title"":{""S"":""Effort""},""question_id"":{""S"":""effort""}}},{""M"":{""score"":{""N"":""16""},""index"":{""N"":""6""},""question"":{""S"":""To what extent do you agree that you felt annoyed, stressed, or frustrated while doing the task?""},""title"":{""S"":""Frustration""},""question_id"":{""S"":""frustration""}}}]","","","","2025-12-16T02:13:47.563Z","","","","","","","poststudy_result","","human","","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T02:13:47.563Z",""
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#prestudy","","","[{""M"":{""score"":{""N"":""-1""},""index"":{""N"":""1""},""question"":{""S"":""I understand the basic ideas behind how AI systems work (for example, that they learn patterns from data).""},""question_id"":{""S"":""q1""}}},{""M"":{""score"":{""N"":""0""},""index"":{""N"":""2""},""question"":{""S"":""I am familiar with common uses of AI in everyday life (for example, recommendations, voice assistants, or image analysis).""},""question_id"":{""S"":""q2""}}},{""M"":{""score"":{""N"":""-2""},""index"":{""N"":""3""},""question"":{""S"":""I feel able to judge, in a rough way, what current AI systems can and cannot do.""},""question_id"":{""S"":""q3""}}},{""M"":{""score"":{""N"":""2""},""index"":{""N"":""4""},""question"":{""S"":""I feel confident that I could learn to use a new AI-based app or device if I needed it.""},""question_id"":{""S"":""q4""}}},{""M"":{""score"":{""N"":""-1""},""index"":{""N"":""5""},""question"":{""S"":""I worry about how AI systems might collect and use my personal data.""},""question_id"":{""S"":""q5""}}},{""M"":{""score"":{""N"":""1""},""index"":{""N"":""6""},""question"":{""S"":""I am concerned that AI systems could infer sensitive things about me (for example, my habits, beliefs, or health) from seemingly harmless data.""},""question_id"":{""S"":""q6""}}},{""M"":{""score"":{""N"":""1""},""index"":{""N"":""7""},""question"":{""S"":""It is important to me to have control over what personal data AI systems can access and how long they keep it.""},""question_id"":{""S"":""q7""}}},{""M"":{""score"":{""N"":""-2""},""index"":{""N"":""8""},""question"":{""S"":""I feel uneasy when AI services share my data or recordings with companies or other organizations.""},""question_id"":{""S"":""q8""}}},{""M"":{""score"":{""N"":""1""},""index"":{""N"":""9""},""question"":{""S"":""I am especially concerned about AI systems that continuously sense my environment (for example, through cameras or microphones).""},""question_id"":{""S"":""q9""}}},{""M"":{""score"":{""N"":""3""},""index"":{""N"":""10""},""question"":{""S"":""Even if an AI service is convenient, I would still hesitate to use it if it collects detailed data about my daily life.""},""question_id"":{""S"":""q10""}}}]","","","","2025-12-16T01:33:34.587Z","","","","","","","prestudy_result","","human","","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T01:33:34.587Z",""
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#story_story_01#clip_1","","","","","clip_01","1","2025-12-16T01:36:17.034Z","","","","","","","clip_annotation","","human","[{""M"":{""finding_id"":{""S"":""manual_1765848846290_651""},""privacy_threat_score"":{""N"":""-1""},""ai_memory_comfort_score"":{""N"":""1""},""share_willingness_score"":{""N"":""1""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""personal information""}]},""time_sec"":{""N"":""31""}}}]","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T01:36:17.034Z","true"
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#story_story_01#clip_2","","","","","clip_02","2","2025-12-16T01:53:56.908Z","","","","","","","clip_annotation","","human","[{""M"":{""finding_id"":{""S"":""manual_1765849072708_8398""},""privacy_threat_score"":{""N"":""-1""},""ai_memory_comfort_score"":{""N"":""2""},""share_willingness_score"":{""N"":""1""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""personal information""}]},""time_sec"":{""N"":""4""}}},{""M"":{""finding_id"":{""S"":""manual_1765849077921_4222""},""privacy_threat_score"":{""N"":""-1""},""ai_memory_comfort_score"":{""N"":""-2""},""share_willingness_score"":{""N"":""1""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""other type of sensitive content""}]},""time_sec"":{""N"":""4""}}}]","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T01:53:56.908Z","true"
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#story_story_01#clip_3","","","","","clip_03","3","2025-12-16T01:59:33.224Z","","","","","","","clip_annotation","","human","[{""M"":{""finding_id"":{""S"":""manual_1765850042194_845""},""privacy_threat_score"":{""N"":""-1""},""ai_memory_comfort_score"":{""N"":""1""},""share_willingness_score"":{""N"":""1""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""social circle or relationships""}]},""time_sec"":{""N"":""0""}}}]","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T01:59:33.224Z","true"
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#story_story_01#clip_4","","","","","clip_04","4","2025-12-16T02:06:47.488Z","","","","","","","clip_annotation","","human","[{""M"":{""finding_id"":{""S"":""manual_1765850375804_1025""},""privacy_threat_score"":{""N"":""-2""},""ai_memory_comfort_score"":{""N"":""1""},""share_willingness_score"":{""N"":""1""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""personal information""}]},""time_sec"":{""N"":""0""}}},{""M"":{""finding_id"":{""S"":""manual_1765850383259_5620""},""privacy_threat_score"":{""N"":""-2""},""ai_memory_comfort_score"":{""N"":""0""},""share_willingness_score"":{""N"":""0""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""others_private_or_confidential_information""}]},""time_sec"":{""N"":""316""}}}]","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T02:06:47.488Z","true"
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_human#story_story_01#clip_5","","","","","clip_05","5","2025-12-16T02:13:36.451Z","{""has_privacy"":{""BOOL"":true},""findings"":{""L"":[{""M"":{""cross_more_severe_score"":{""N"":""0""},""finding_id"":{""S"":""cross_manual_1765849056876_4709""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""cross_privacy_threat_score"":{""N"":""-1""},""categories"":{""L"":[{""S"":""personal information""},{""S"":""individual preferences/pastimes""}]},""clip_numbers"":{""L"":[{""N"":""2""},{""N"":""3""}]},""cross_ai_memory_comfort_score"":{""N"":""1""}}}]}}","","","","","","clip_annotation","","human","[{""M"":{""finding_id"":{""S"":""manual_1765850810995_6542""},""privacy_threat_score"":{""N"":""-1""},""ai_memory_comfort_score"":{""N"":""0""},""share_willingness_score"":{""N"":""0""},""description"":{""S"":""1 2 3 4 5 6 7 8 9 0""},""categories"":{""L"":[{""S"":""individual preferences/pastimes""}]},""time_sec"":{""N"":""4""}}}]","test_human","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T02:13:36.451Z","true"
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_vlm","","","","","","","2025-12-16T04:03:15.488Z","","","6","true","2025-12-16T04:36:38.451Z","","participant_assignment","","vlm","","test_vlm","3","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T04:36:06.888Z",""
"soups26_vlm_assignment_participant","soups26_vlma_01:formal_1#participant_test_vlm#poststudy","","","[{""M"":{""score"":{""N"":""14""},""index"":{""N"":""1""},""question"":{""S"":""To what extent do you agree that the task required a high level of mental effort or concentration?""},""title"":{""S"":""Mental demand""},""question_id"":{""S"":""mental_demand""}}},{""M"":{""score"":{""N"":""13""},""index"":{""N"":""2""},""question"":{""S"":""To what extent do you agree that the task was physically demanding (for example, eye strain, mouse or keyboard use)?""},""title"":{""S"":""Physical demand""},""question_id"":{""S"":""physical_demand""}}},{""M"":{""score"":{""N"":""14""},""index"":{""N"":""3""},""question"":{""S"":""To what extent do you agree that you felt rushed or under time pressure while doing the task?""},""title"":{""S"":""Time pressure""},""question_id"":{""S"":""time_pressure""}}},{""M"":{""score"":{""N"":""14""},""index"":{""N"":""4""},""question"":{""S"":""To what extent do you agree that you performed the task well? (higher = better performance)""},""title"":{""S"":""Perceived performance""},""question_id"":{""S"":""performance""}}},{""M"":{""score"":{""N"":""14""},""index"":{""N"":""5""},""question"":{""S"":""To what extent do you agree that you had to put a lot of effort into completing the task?""},""title"":{""S"":""Effort""},""question_id"":{""S"":""effort""}}},{""M"":{""score"":{""N"":""13""},""index"":{""N"":""6""},""question"":{""S"":""To what extent do you agree that you felt annoyed, stressed, or frustrated while doing the task?""},""title"":{""S"":""Frustration""},""question_id"":{""S"":""frustration""}}},{""M"":{""score"":{""N"":""2""},""index"":{""N"":""1""},""question"":{""S"":""To what extent do you agree that the AI highlights made it easier to notice potentially privacy-threatening content?""},""title"":{""S"":""AI highlights help notice privacy risks""},""question_id"":{""S"":""ai_highlights_easier""}}},{""M"":{""score"":{""N"":""2""},""index"":{""N"":""2""},""question"":{""S"":""To what extent do you agree that the AI highlights sometimes distracted you from what you considered privacy-related?""},""title"":{""S"":""AI highlights were distracting""},""question_id"":{""S"":""ai_highlights_distracting""}}},{""M"":{""score"":{""N"":""2""},""index"":{""N"":""3""},""question"":{""S"":""To what extent do you agree that, in general, you would trust an AI system to help you understand your privacy in everyday life?""},""title"":{""S"":""Trust AI to protect privacy""},""question_id"":{""S"":""ai_trust_assistant""}}},{""M"":{""score"":{""N"":""3""},""index"":{""N"":""4""},""question"":{""S"":""To what extent do you agree that you would still feel in control of what is shared, even if an AI assistant is constantly analyzing your video?""},""title"":{""S"":""Control with constant AI analysis""},""question_id"":{""S"":""ai_feel_in_control""}}},{""M"":{""score"":{""N"":""3""},""index"":{""N"":""5""},""question"":{""S"":""To what extent do you agree that you will feel comfortable if you see others using such an AI assistant to detect privacy-related information?""},""title"":{""S"":""Comfort seeing others use AI assistant""},""question_id"":{""S"":""ai_comfort_others_use""}}}]","","","","2025-12-16T04:36:35.880Z","","","","","","this is my idea","poststudy_result","","vlm","","test_vlm","","story_01","","soups26_vlma_01:formal_1","formal_1","2025-12-16T04:36:35.880Z",""
